R1,R2,R3,Metal_NPA,d_cp-M,d_B-M,E_els,E_rep,LUMO,1-octene,Al/M,T,Mw
1.13302,1.01,0.82981,1.00829,2.02189,1.77673,-223.06,658.77,-5.85833,5.3,150,25,2.69
0.86788,1.01,0.75799,1.63803,2.22629,1.94528,-268.48,813.81,-5.517698,5.3,4,55,0.36
0.84968,1.01,0.7644,1.63599,2.22972,1.96075,-309.76,796.3,-5.251847,5.3,15,55,0.31
0.7194,1.01,0.73346,1.99426,2.20046,1.92516,-256.52,961.06,-5.216752,5.3,4,55,0.12
0.33234,2.00486,0.39734,1.38275,2.24789,2.24248,-220.18,661.76,-5.930201,1000,20000,40,2.5
1.18979,1.01,0.97878,0.82355,1.99865,1.90648,-232.6,690.1,-5.674327,300,800,80,3.12
1.19411,1.01,0.9734,0.82245,1.99871,1.90778,-231.89,687.56,-5.697474,300,800,80,3.12
0.94661,1.01,0.9117,1.34145,2.23256,2.23242,-221.54,664.14,-6.429745,55,2000,70,0.07
1.03871,1.38678,0.6625,0.91661,1.99798,1.93847,-250.93,793.49,-6.422554,800,25,90,1.54
0.38207,2.05197,0.37768,1.43269,2.2107,2.30467,-233.17,710.44,-5.66146,45,100,120,1.02
0.8038,2.10212,0.38625,0.81439,2.04019,1.90104,-226.55,668.59,-5.738717,312,1000,90,1.2
1.14855,1.25287,0.80963,0.78173,2.02968,2.00013,-234.7,739.7,-5.745196,800,25,90,0.85
0.76551,1.1741,0.4755,1.93296,2.20743,2.12387,-230.02,883.54,-5.077543,100,2000,180,2.56
1.14069,1.01,0.8621,1.02929,2.01012,1.91912,-237.61,721.51,-5.863001,300,1000,80,1.53
0.8124,1.12816,0.81905,1.33478,2.26745,2.27059,-241.13,735.79,-5.619613,43,2000,50,1.23
0.30795,2.06584,0.29525,1.65199,2.18156,2.25821,-205.74,752.27,-5.697833,45,100,120,1.39
1.02223,1.39755,0.66713,0.90758,1.99931,1.93503,-248,785.4,-6.544651,800,25,90,2.09
0.67132,2.18049,0.45411,0.72582,2.03355,1.9315,-233.99,734.35,-6.3553196,76,1000,150,3.32
0.64373,2.17331,0.43774,0.7671,2.0302,1.88621,-220.27,643.28,-5.925336,96,300,150,3.03
0.94661,1.01,0.9117,1.34145,2.23256,2.23242,-221.54,664.14,-6.429745,32,2000,50,0.41
0.38559,2.05153,0.375,1.4366,2.21631,2.31026,-229.2,704.51,-5.60037,45,100,120,1.27
1.18708,1.01,1.06447,0.93671,2.00149,1.91025,-257.8,798.13,-5.80083,300,800,80,2.77
0.3805,2.06645,0.36741,1.4273,2.21103,2.30266,-230.91,702.22,-5.808924,45,100,120,1.32
0.37836,2.06809,0.37865,1.40862,2.20856,2.30068,-230.3,698.54,-5.866914,45,100,120,1.46
1.11357,1.01,0.87517,1.03826,2.02287,1.91765,-231.21,702.55,-5.9262,300,1000,80,0.87
0.41136,2.01054,0.4151,1.3408,2.25113,2.24345,-238.57,737.17,-6.071602,600,20000,40,1.45
1.19394,1.01,0.97399,0.82858,2.00472,1.90732,-234.32,692.66,-5.623159,300,800,80,3.49
1.1577,1.21512,0.82383,0.78383,2.03807,1.98676,-232.6,732.8,-5.957395,800,25,90,1.91
0.36582,2.05003,0.4172,1.41334,2.20812,2.28706,-239.48,729.27,-5.513676,45,100,120,1.58
0.67132,2.18049,0.45411,0.72582,2.03355,1.9315,-233.99,734.35,-6.3553196,96,800,60,2.53
0.67132,2.18049,0.45411,0.72582,2.03355,1.9315,-233.99,734.35,-6.3553196,13,1000,120,3.82
0.67132,2.18049,0.45411,0.72582,2.03355,1.9315,-233.99,734.35,-6.3553196,96,100,60,3.32
0.67132,2.18049,0.45411,0.72582,2.03355,1.9315,-233.99,734.35,-6.3553196,96,300,120,3.41
1.19209,1.01,1.00826,0.81194,1.99562,1.90998,-264.24,828.37,-5.769842,300,800,80,3.5
0.67132,2.18049,0.45411,0.72582,2.03355,1.9315,-233.99,734.35,-6.3553196,96,300,60,3.34
0.67132,2.18049,0.45411,0.72582,2.03355,1.9315,-233.99,734.35,-6.3553196,96,300,170,1.2
0.8124,1.12816,0.81905,1.33478,2.26745,2.27059,-241.13,735.79,-5.619613,20,2000,70,2.02
0.36992,2.05704,0.40781,1.41499,2.2092,2.28963,-236.56,718.57,-5.645142,45,100,120,0.9
0.67132,2.18049,0.45411,0.72582,2.03355,1.9315,-233.99,734.35,-6.3553196,51,1000,150,3.85
0.33234,2.00486,0.39734,1.38275,2.24789,2.24248,-220.18,661.76,-5.930201,800,20000,40,1.91
0.67132,2.18049,0.45411,0.72582,2.03355,1.9315,-233.99,734.35,-6.3553196,96,1000,60,1.92
0.67132,2.18049,0.45411,0.72582,2.03355,1.9315,-233.99,734.35,-6.3553196,64,1000,120,2.46
1.19782,1.25142,0.56114,0.9655,2.03676,1.98248,-230.57,724.98,-5.930201,800,25,90,0.28
1.30128,1.01,1.5072,0.66925,2.02983,2.29691,-289.45,757.54,-6.286597,1000,1.2,30,0.55
0.67132,2.18049,0.45411,0.72582,2.03355,1.9315,-233.99,734.35,-6.3553196,96,300,150,3.57
1.15815,1.22216,0.64228,0.83406,1.99472,1.78786,-217.18,635.42,-6.186585,800,25,90,1.23
0.40536,2.01309,0.40885,1.36005,2.25778,2.24383,-240.92,740.8,-5.945582,600,20000,40,2.52
0.77284,2.12734,0.20468,1.07175,2.02346,1.89621,-226.49,662.04,-5.608973,312,1000,90,0.45
0.37826,2.05592,0.38843,1.41411,2.20657,2.30084,-233.19,708.26,-5.716437,45,100,120,1.61
0.46357,2.09464,0.31337,1.38571,2.20872,2.05017,-228.11,689.3,-5.635479,192,600,80,2.11
0.41471,2.00505,0.40744,1.35066,2.23782,2.2355,-217.27,653.56,-5.275588,600,20000,40,1.24
0.7194,1.01,0.73346,1.99426,2.20046,1.92516,-256.52,961.06,-5.216752,5.3,4,25,0.1
1.18655,1.01,0.98323,0.8234,1.99896,1.90555,-232.59,690.18,-5.644799,300,800,80,2.44
0.82018,2.10017,0.38334,0.7768,2.05657,1.89742,-226.22,669.96,-5.66756,85,1000,80,3.27
0.33234,2.00486,0.39734,1.38275,2.24789,2.24248,-220.18,661.76,-5.930201,600,20000,40,3.1
0.63629,2.17073,0.45559,0.76461,2.03106,1.8852,-221.35,647.38,-5.840777,96,300,150,2.16
0.68381,1.01,1.50645,0.72498,2.02935,1.87841,-229.06,670.04,-5.750456,27,4,130,5.04
0.67704,2.17313,0.59116,0.57634,2.03646,1.89641,-248.54,784.67,-5.652077,96,300,150,1.43
0.30744,2.05405,0.30471,1.66119,2.18027,2.25654,-209.16,761.9,-5.556485,45,100,120,2.07
0.76313,2.11543,0.41349,0.80058,2.05907,1.88796,-222.82,655.33,-5.888226,192,600,80,2.02
1.12742,1.21825,0.56497,1.10179,1.99582,1.785,-216.84,632.96,-6.270978,800,25,90,1.86
