R1,R2,R3,d_cp-M,d_B-M,Metal_NPA,LUMO,E_els,E_rep,T,Al/M,1-octene,CA,Mw,OIR
0.67704,2.17313,0.59116,2.03646,1.89641,0.57634,-5.652077,-248.54,784.67,150,300,96,5.08279,1.43,8.68
0.63629,2.17073,0.45559,2.03106,1.8852,0.76461,-5.840777,-221.35,647.38,150,300,96,5.20683,2.16,10.02
0.64373,2.17331,0.43774,2.0302,1.88621,0.7671,-5.925336,-220.27,643.28,150,300,96,5.4133,3.03,12.28
0.66822,2.17991,0.45708,2.03399,1.93143,0.72719,-6.293744,-234.69,737.99,150,300,96,5.46687,3.31,14
0.67132,2.18049,0.45411,2.03355,1.9315,0.72582,-6.3553196,-233.99,734.35,150,300,96,5.51983,3.57,16.43
0.41136,2.01054,0.4151,2.25113,2.24345,1.3408,-6.071602,-238.57,737.17,40,20000,600,6.78247,1.4544,11.8
0.40536,2.01309,0.40885,2.25778,2.24383,1.36005,-5.945582,-240.92,740.8,40,20000,600,6.53148,2.52,11.4
0.41471,2.00505,0.40744,2.23782,2.2355,1.35066,-5.275588,-217.27,653.56,40,20000,600,6.86864,1.2432,19.4
0.33234,2.00486,0.39734,2.24789,2.24248,1.38275,-5.930201,-220.18,661.76,40,20000,600,6.44404,3.096,22.2
0.8124,1.12816,0.81905,2.26745,2.27059,1.33478,-5.619613,-241.13,735.79,50,2000,127,6.54407,1.23,23.27
0.73609,2.1247,0.43131,2.04643,1.88747,0.77077,-6.069322,-219.28,646.22,80,1000,85,6.92169,0.78,29
0.82018,2.10017,0.38334,2.05657,1.89742,0.7768,-5.66756,-226.22,669.96,80,1000,85,7.54407,3.27,42.5
0.76937,2.12595,0.21272,2.02489,1.89706,1.07049,-5.544863,-227.47,665.03,90,1000,312,6.03941,0.19027,26.3
0.45812,2.11451,0.11866,2.20012,2.06451,1.63186,-5.369427,-239.49,726.46,90,1000,312,5.71012,0.46928,25
0.77284,2.12734,0.20468,2.02346,1.89621,1.07175,-5.608973,-226.49,662.04,90,1000,312,5.73719,0.45127,22.2
0.8038,2.10212,0.38625,2.04019,1.90104,0.81439,-5.738717,-226.55,668.59,90,1000,312,6.38828,1.20233,11.9
0.76313,2.11543,0.41349,2.05907,1.88796,0.80058,-5.888226,-222.82,655.33,80,600,192,8.57634,2.02,7.68
0.46357,2.09464,0.31337,2.20872,2.05017,1.38571,-5.635479,-228.11,689.3,80,600,192,7.40836,2.11,0.82
1.19782,1.25142,0.56114,2.03676,1.98248,0.9655,-5.930201,-230.57,724.98,90,25,800,7.70757,0.28,14
1.1375,1.25681,0.81506,2.03055,2.00038,0.77443,-5.84327,-232.77,734.32,90,25,800,6.80618,0.71,12
1.15353,1.23656,0.81351,2.03529,1.98264,0.78374,-5.828763,-232.76,731.19,90,25,800,8.11394,0.49,15
1.14855,1.25287,0.80963,2.02968,2.00013,0.78173,-5.745196,-234.7,739.7,90,25,800,6.61278,0.85,14
1.1577,1.21512,0.82383,2.03807,1.98676,0.78383,-5.957395,-232.6,732.8,90,25,800,6.78533,1.91,24
1.12742,1.21825,0.56497,1.99582,1.785,1.10179,-6.270978,-216.84,632.96,90,25,800,7.30103,1.86,23
1.15815,1.22216,0.64228,1.99472,1.78786,0.83406,-6.186585,-217.18,635.42,90,25,800,7.79934,1.23,31
1.02223,1.39755,0.66713,1.99931,1.93503,0.90758,-6.544651,-248,785.4,90,25,800,7.62325,2.09,20
1.03871,1.38678,0.6625,1.99798,1.93847,0.91661,-6.422554,-250.93,793.49,90,25,800,7.82607,1.54,20
0.76551,1.1741,0.4755,2.20743,2.12387,1.93296,-5.077543,-230.02,883.54,180,2000,100,8.08991,2.5634,13.4
0.37836,2.06809,0.37865,2.20856,2.30068,1.40862,-5.866914,-230.3,698.54,120,100,45,6.924279286,1.461,4.9
0.37826,2.05592,0.38843,2.20657,2.30084,1.41411,-5.716437,-233.19,708.26,120,100,45,7.029383778,1.609,7
0.38207,2.05197,0.37768,2.2107,2.30467,1.43269,-5.66146,-233.17,710.44,120,100,45,7.198657087,1.023,6
0.38559,2.05153,0.375,2.21631,2.31026,1.4366,-5.60037,-229.2,704.51,120,100,45,6.806179974,1.272,3.7
0.3805,2.06645,0.36741,2.21103,2.30266,1.4273,-5.808924,-230.91,702.22,120,100,45,7.136720567,1.318,5.8
0.36582,2.05003,0.4172,2.20812,2.28706,1.41334,-5.513676,-239.48,729.27,120,100,45,6.113943352,1.582,11
0.30795,2.06584,0.29525,2.18156,2.25821,1.65199,-5.697833,-205.74,752.27,120,100,45,6.447158031,1.393,7.8
0.2966,2.05955,0.32388,2.18256,2.24515,1.65041,-5.481747,-212.21,769.05,120,100,45,6.838849091,1.642,10.9
0.36992,2.05704,0.40781,2.2092,2.28963,1.41499,-5.645142,-236.56,718.57,120,100,45,7.198657087,0.897,6.5
0.30744,2.05405,0.30471,2.18027,2.25654,1.66119,-5.556485,-209.16,761.9,120,100,45,6.51851394,2.065,6
0.30839,2.04997,0.29387,2.18552,2.26475,1.68254,-5.482905,-207.72,760.18,120,100,45,6.72427587,1.737,5.5
