R1,R2,R3,d_cp-M,d_B-M,Metal_NPA,LUMO,E_els,E_rep,T,Al/M,1-octene,CA,Mw,OIR
1.14099,1.01,0.84096,1.99828,1.9119,1.05378,-5.625677,-231.11,684.94,80,1000,300,7.20412,1.32,22
1.11357,1.01,0.87517,2.02287,1.91765,1.03826,-5.9262,-231.21,702.55,80,1000,300,7.30103,0.87,25
1.14844,1.01,0.85767,1.99696,1.92066,1.02997,-5.799611,-251.94,770.56,80,1000,300,7.79239,1.57,14
1.14069,1.01,0.8621,2.01012,1.91912,1.02929,-5.863001,-237.61,721.51,80,1000,300,7.73239,1.53,20
0.69148,1.01,1.49464,2.02517,1.8802,0.72505,-5.820112,-229.68,673.87,130,400,27,7.5611,6.94,12
0.68381,1.01,1.50645,2.02935,1.87841,0.72498,-5.750456,-229.06,670.04,130,400,27,7.55145,5.04,14
0.69101,1.01,1.51723,2.02516,1.88124,0.7043,-5.789565,-230.1,675.57,130,400,27,7.78958,4.3,11
0.69834,1.01,1.48649,2.02194,1.89261,0.71724,-5.706874,-228.07,667.2,130,400,27,7.22531,10.8,14
0.70337,1.01,1.48207,2.02108,1.88878,0.71657,-5.661774,-226.73,663.74,130,400,27,7.38739,10.5,15
0.69092,1.01,1.50401,2.02242,1.88592,0.71446,-5.691102,-228.15,666.82,130,400,27,7.67761,7.24,19
1.19394,1.01,0.97399,2.00472,1.90732,0.82858,-5.623159,-234.32,692.66,80,800,300,7.716,3.49,24
1.18708,1.01,1.06447,2.00149,1.91025,0.93671,-5.80083,-257.8,798.13,80,800,300,7.57978,2.77,24
1.19067,1.01,0.97841,2.00481,1.90663,0.82853,-5.592989,-233.84,692.05,80,800,300,7.93952,2.04,24
1.19411,1.01,0.9734,1.99871,1.90778,0.82245,-5.697474,-231.89,687.56,80,800,300,7.61278,3.12,31
1.18979,1.01,0.97878,1.99865,1.90648,0.82355,-5.674327,-232.6,690.1,80,800,300,7.66276,3.12,32
1.18925,1.01,1.00093,1.99194,1.90784,0.82651,-5.811944,-263.71,821.84,80,800,300,7.44716,2.18,28
1.18655,1.01,0.98323,1.99896,1.90555,0.8234,-5.644799,-232.59,690.18,80,800,300,7.47712,2.44,32
1.19209,1.01,1.00826,1.99562,1.90998,0.81194,-5.769842,-264.24,828.37,80,800,300,7.38021,3.5,14
1.07335,1.01,0.89287,2.04763,1.79788,1.04647,-5.682841,-267.51,804.14,25,400,5.3,7.50515,0.893,27
1.16751,1.01,1.04167,2.0491,1.78084,0.89534,-5.940979,-264.26,799.16,55,4,5.3,5.88195,1.221,34.3
1.13302,1.01,0.82981,2.02189,1.77673,1.00829,-5.85833,-223.06,658.77,25,150,5.3,8.18752,2.688,27.9
0.84968,1.01,0.7644,2.22972,1.96075,1.63599,-5.251847,-309.76,796.3,55,15,5.3,7.1116,0.3102,3.2
0.86788,1.01,0.75799,2.22629,1.94528,1.63803,-5.517698,-268.48,813.81,25,4,5.3,6.50515,6.003,9.4
0.7194,1.01,0.73346,2.20046,1.92516,1.99426,-5.216752,-256.52,961.06,55,4,5.3,5.92117,0.117,16.4
1.17344,1.01,1.14492,2.01125,2.2854,0.63198,-6.483765,-288.74,750.75,30,1.2,1000,6.96848,1.71,15
1.26117,1.01,1.06165,2.01981,2.32941,0.68696,-6.325715,-271.01,802.52,30,1.2,1000,7.03342,23.79,14.4
1.30128,1.01,1.5072,2.02983,2.29691,0.66925,-6.286597,-289.45,757.54,30,1.2,1000,6.87506,0.55,12.6
1.33812,1.01,1.27534,2.0342,2.27465,0.37381,-5.871816,-282.9,760.58,30,1.2,1000,6.98227,11.96,10.2
1.15279,1.01,0.84041,2.02388,1.81844,0.95407,-7.037603,-240.39,749.87,30,1.2,1000,6.73239,23.19,7.71
